
***** Phase 1 differential defect constraints *****
LOWER		G(X)		UPPER		SCALING
0.000000e+00	3.410605e-15	0.000000e+00	2.000000e-02 ***
64	-1.000000e+00	1.181659e-05	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
65	-1.000000e+00	-1.095213e-05	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
66	-1.000000e+00	1.019940e-05	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
67	-1.000000e+00	-9.488607e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
68	-1.000000e+00	8.836592e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
69	-1.000000e+00	-8.229250e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
70	-1.000000e+00	7.660630e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
71	-1.000000e+00	-7.127673e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
72	-1.000000e+00	6.625160e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
73	-1.000000e+00	-6.148469e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
74	-1.000000e+00	5.694856e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
75	-1.000000e+00	-5.261850e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
76	-1.000000e+00	4.838456e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
77	-1.000000e+00	-4.428130e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
78	-1.000000e+00	4.055196e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
79	-1.000000e+00	-3.546318e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
80	-1.000000e+00	3.663807e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
81	-1.000000e+00	-1.308309e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
82	-1.000000e+00	8.127194e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
83	-1.000000e+00	1.666225e-05	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
84	-1.000000e+00	5.935750e-05	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
85	-1.000000e+00	1.606926e-04	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
86	-1.000000e+00	4.163270e-04	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
87	-1.000000e+00	9.659015e-04	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
88	-1.000000e+00	2.033658e-03	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
89	-1.000000e+00	3.856360e-03	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
90	-1.000000e+00	6.577179e-03	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
91	-1.000000e+00	1.011169e-02	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
92	-1.000000e+00	1.409516e-02	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
93	-1.000000e+00	1.785018e-02	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
94	-1.000000e+00	2.000000e-02	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
95	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e-02	t0 PHASE 1
96	1.000000e+00	1.000000e+00	1.000000e+00	2.000000e-02	tf PHASE 1
